,id,original_title,release_date,genres,vote_count,language
33,36668,X-Men: The Last Stand,2006-05-24,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",3525,English
34,62211,Monsters University,2013-06-20,"['Animation', 'Family']",3528,English
35,8373,Transformers: Revenge of the Fallen,2009-06-19,"['Science Fiction', 'Action', 'Adventure']",3138,English
36,91314,Transformers: Age of Extinction,2014-06-25,"['Science Fiction', 'Action', 'Adventure']",3095,English
37,68728,Oz: The Great and Powerful,2013-03-07,"['Fantasy', 'Adventure', 'Family']",3530,English
38,102382,The Amazing Spider-Man 2,2014-04-16,"['Action', 'Adventure', 'Fantasy']",4179,English
39,20526,TRON: Legacy,2010-12-10,"['Adventure', 'Action', 'Science Fiction']",2841,English
40,49013,Cars 2,2011-06-11,"['Animation', 'Family', 'Adventure', 'Comedy']",2033,English
41,44912,Green Lantern,2011-06-16,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2487,English
42,10193,Toy Story 3,2010-06-16,"['Animation', 'Family', 'Comedy']",4597,English
43,534,Terminator Salvation,2009-05-20,"['Action', 'Science Fiction', 'Thriller']",2463,English
44,168259,Furious 7,2015-04-01,['Action'],4176,English
45,72190,World War Z,2013-06-20,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",5560,English
46,127585,X-Men: Days of Future Past,2014-05-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",6032,English
47,54138,Star Trek Into Darkness,2013-05-05,"['Action', 'Adventure', 'Science Fiction']",4418,English
48,81005,Jack the Giant Slayer,2013-02-27,"['Action', 'Family', 'Fantasy']",2598,English
49,64682,The Great Gatsby,2013-05-10,"['Drama', 'Romance']",3769,English
50,9543,Prince of Persia: The Sands of Time,2010-05-19,"['Adventure', 'Fantasy', 'Action', 'Romance']",2317,English
51,68726,Pacific Rim,2013-07-11,"['Action', 'Science Fiction', 'Adventure']",4794,English
52,38356,Transformers: Dark of the Moon,2011-06-28,"['Action', 'Science Fiction', 'Adventure']",3299,English
53,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,"['Adventure', 'Action']",2495,English
54,105864,The Good Dinosaur,2015-11-14,"['Adventure', 'Animation', 'Family']",1736,English
55,62177,Brave,2012-06-21,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",4641,English
56,188927,Star Trek Beyond,2016-07-07,"['Action', 'Adventure', 'Science Fiction']",2568,English
57,10681,WALL·E,2008-06-22,"['Animation', 'Family']",6296,English
58,5174,Rush Hour 3,2007-08-08,"['Action', 'Comedy', 'Crime', 'Thriller']",783,English
59,14161,2012,2009-10-10,"['Action', 'Adventure', 'Science Fiction']",4903,English
60,17979,A Christmas Carol,2009-11-04,"['Animation', 'Drama']",1095,English
61,76757,Jupiter Ascending,2015-02-04,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",2768,English
62,258489,The Legend of Tarzan,2016-06-29,"['Action', 'Adventure']",2430,English
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"['Adventure', 'Family', 'Fantasy']",2629,English
64,246655,X-Men: Apocalypse,2016-05-18,['Science Fiction'],4721,English
65,155,The Dark Knight,2008-07-16,"['Drama', 'Action', 'Crime', 'Thriller']",12002,English
66,14160,Up,2009-05-13,"['Animation', 'Comedy', 'Family', 'Adventure']",6870,English
67,15512,Monsters vs Aliens,2009-03-19,"['Animation', 'Family', 'Adventure', 'Science Fiction']",1423,English
68,1726,Iron Man,2008-04-30,"['Action', 'Science Fiction', 'Adventure']",8776,English
69,44826,Hugo,2011-11-22,"['Adventure', 'Drama', 'Family']",2141,English
70,8487,Wild Wild West,1999-06-29,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",1020,English
71,1735,The Mummy: Tomb of the Dragon Emperor,2008-07-01,"['Adventure', 'Action', 'Fantasy']",1387,English
72,297761,Suicide Squad,2016-08-02,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",7458,English
73,2698,Evan Almighty,2007-06-09,"['Fantasy', 'Comedy', 'Family']",1151,English
74,137113,Edge of Tomorrow,2014-05-27,"['Action', 'Science Fiction']",4858,English
75,9804,Waterworld,1995-07-28,"['Adventure', 'Action']",992,English
76,14869,G.I. Joe: The Rise of Cobra,2009-08-04,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1962,English
77,150540,Inside Out,2015-06-09,"['Drama', 'Comedy', 'Animation', 'Family']",6560,English
78,278927,The Jungle Book,2016-04-07,"['Family', 'Adventure', 'Drama', 'Fantasy']",2892,English
79,10138,Iron Man 2,2010-04-28,"['Adventure', 'Action', 'Science Fiction']",6849,English
80,58595,Snow White and the Huntsman,2012-05-30,"['Adventure', 'Fantasy', 'Drama']",3118,English
81,102651,Maleficent,2014-05-28,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",4496,English
82,119450,Dawn of the Planet of the Apes,2014-06-26,"['Science Fiction', 'Action', 'Drama', 'Thriller']",4410,English
83,79698,The Lovers,2015-02-13,"['Action', 'Adventure', 'Science Fiction', 'Romance']",34,English
84,64686,47 Ronin,2013-12-06,"['Drama', 'Action', 'Adventure', 'Fantasy']",1326,English
85,100402,Captain America: The Winter Soldier,2014-03-20,"['Action', 'Adventure', 'Science Fiction']",5764,English
86,10192,Shrek Forever After,2010-05-16,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",1959,English
87,158852,Tomorrowland,2015-05-19,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",2846,English
88,177572,Big Hero 6,2014-10-24,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",6135,English
89,82690,Wreck-It Ralph,2012-11-01,"['Family', 'Animation', 'Comedy', 'Adventure']",4570,English
90,5255,The Polar Express,2004-11-10,"['Adventure', 'Animation', 'Family', 'Fantasy']",1474,English
91,47933,Independence Day: Resurgence,2016-06-22,"['Action', 'Adventure', 'Science Fiction']",2491,English
92,10191,How to Train Your Dragon,2010-03-05,"['Fantasy', 'Adventure', 'Animation', 'Family']",4227,English
93,296,Terminator 3: Rise of the Machines,2003-07-02,"['Action', 'Thriller', 'Science Fiction']",2143,English
94,118340,Guardians of the Galaxy,2014-07-30,"['Action', 'Science Fiction', 'Adventure']",9742,English
95,157336,Interstellar,2014-11-05,"['Adventure', 'Drama', 'Science Fiction']",10867,English
96,27205,Inception,2010-07-14,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",13752,English
97,315011,シン・ゴジラ,2016-07-29,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",143,Japanese
98,49051,The Hobbit: An Unexpected Journey,2012-11-26,"['Adventure', 'Fantasy', 'Action']",8297,English
99,9799,The Fast and the Furious,2001-06-22,"['Action', 'Crime', 'Thriller']",3428,English
100,4922,The Curious Case of Benjamin Button,2008-11-24,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",3292,English
101,49538,X-Men: First Class,2011-05-24,"['Action', 'Science Fiction', 'Adventure']",5181,English
102,131634,The Hunger Games: Mockingjay - Part 2,2015-11-18,"['Action', 'Adventure', 'Science Fiction']",3984,English
103,27022,The Sorcerer's Apprentice,2010-07-13,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",1470,English
104,503,Poseidon,2006-05-12,"['Adventure', 'Action', 'Drama', 'Thriller']",583,English
105,241259,Alice Through the Looking Glass,2016-05-25,['Fantasy'],1725,English
106,810,Shrek the Third,2007-05-17,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",2278,English
107,68735,Warcraft,2016-05-25,"['Action', 'Adventure', 'Fantasy']",2268,English
108,87101,Terminator Genisys,2015-06-23,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",3631,English
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,"['Adventure', 'Family', 'Fantasy']",1514,English
110,676,Pearl Harbor,2001-05-21,"['History', 'Romance', 'War']",1791,English
111,1858,Transformers,2007-06-27,"['Adventure', 'Science Fiction', 'Action']",4040,English
112,1966,Alexander,2004-11-21,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",927,English
113,675,Harry Potter and the Order of the Phoenix,2007-06-28,"['Adventure', 'Fantasy', 'Family', 'Mystery']",5494,English
114,674,Harry Potter and the Goblet of Fire,2005-11-05,"['Adventure', 'Fantasy', 'Family']",5608,English
115,8960,Hancock,2008-07-01,"['Fantasy', 'Action']",2961,English
116,6479,I Am Legend,2007-12-14,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",4853,English
117,118,Charlie and the Chocolate Factory,2005-07-13,"['Adventure', 'Comedy', 'Family', 'Fantasy']",3624,English
118,2062,Ratatouille,2007-06-22,"['Animation', 'Comedy', 'Family', 'Fantasy']",4369,English
119,272,Batman Begins,2005-06-10,"['Action', 'Crime', 'Drama']",7359,English
120,10527,Madagascar: Escape 2 Africa,2008-10-30,"['Family', 'Animation']",1810,English
121,18360,Night at the Museum: Battle of the Smithsonian,2009-05-20,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",1971,English
122,2080,X-Men Origins: Wolverine,2009-04-28,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",4021,English
123,605,The Matrix Revolutions,2003-11-05,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",3096,English
124,109445,Frozen,2013-11-27,"['Animation', 'Adventure', 'Family']",5295,English
125,604,The Matrix Reloaded,2003-05-15,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",3443,English
126,76338,Thor: The Dark World,2013-10-29,"['Action', 'Adventure', 'Fantasy']",4755,English
127,76341,Mad Max: Fury Road,2015-05-13,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",9427,English
128,13448,Angels & Demons,2009-05-13,"['Thriller', 'Mystery']",2129,English
129,10195,Thor,2011-04-21,"['Adventure', 'Fantasy', 'Action']",6525,English
130,13053,Bolt,2008-11-21,"['Animation', 'Family', 'Adventure', 'Comedy']",1750,English
131,19585,G-Force,2009-07-21,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",510,English
132,57165,Wrath of the Titans,2012-03-27,['Adventure'],1431,English
133,62213,Dark Shadows,2012-05-08,"['Comedy', 'Fantasy']",2320,English
134,177677,Mission: Impossible - Rogue Nation,2015-07-23,"['Action', 'Adventure', 'Thriller']",3224,English
135,7978,The Wolfman,2010-02-11,"['Drama', 'Horror', 'Thriller']",549,English
136,5559,Bee Movie,2007-10-28,"['Family', 'Animation', 'Adventure', 'Comedy']",1171,English
137,49444,Kung Fu Panda 2,2011-05-25,"['Animation', 'Family']",1880,English
138,10196,The Last Airbender,2010-06-30,"['Action', 'Adventure', 'Family', 'Fantasy']",1151,English
139,956,Mission: Impossible III,2006-05-03,"['Adventure', 'Action', 'Thriller']",2028,English
140,117251,White House Down,2013-06-27,"['Action', 'Drama', 'Thriller']",1891,English
141,50321,Mars Needs Moms,2011-03-09,"['Adventure', 'Animation', 'Family']",199,English
142,11619,Flushed Away,2006-10-22,"['Adventure', 'Animation', 'Comedy', 'Family']",874,English
143,266647,Pan,2015-09-24,"['Adventure', 'Family', 'Fantasy']",954,English
144,82703,Mr. Peabody & Sherman,2014-02-07,"['Animation', 'Adventure', 'Family']",843,English
145,652,Troy,2004-05-13,"['Adventure', 'Drama', 'War']",2759,English
146,80321,Madagascar 3: Europe's Most Wanted,2012-06-06,"['Animation', 'Family']",1808,English
147,36669,Die Another Day,2002-11-17,"['Adventure', 'Action', 'Thriller']",1092,English
148,43074,Ghostbusters,2016-07-14,"['Action', 'Fantasy', 'Comedy']",2142,English
149,95,Armageddon,1998-07-01,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",2482,English
150,608,Men in Black II,2002-07-03,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",3114,English
151,2310,Beowulf,2007-11-05,"['Adventure', 'Action', 'Animation']",841,English
152,140300,Kung Fu Panda 3,2016-01-23,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",1603,English
153,56292,Mission: Impossible - Ghost Protocol,2011-12-07,"['Action', 'Thriller', 'Adventure']",3972,English
154,81188,Rise of the Guardians,2012-11-21,"['Fantasy', 'Animation', 'Family']",1922,English
155,7552,Fun with Dick and Jane,2005-12-21,['Comedy'],627,English
156,616,The Last Samurai,2003-12-05,"['Drama', 'Action', 'War', 'History']",1895,English
157,147441,Exodus: Gods and Kings,2014-12-03,"['Adventure', 'Drama', 'Action']",1921,English
158,13475,Star Trek,2009-05-06,"['Science Fiction', 'Action', 'Adventure']",4518,English
159,557,Spider-Man,2002-05-01,"['Fantasy', 'Action']",5265,English
160,82702,How to Train Your Dragon 2,2014-06-12,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",3106,English
161,205584,Gods of Egypt,2016-02-25,['Fantasy'],1277,English
162,10048,Stealth,2005-07-28,['Action'],331,English
163,13183,Watchmen,2009-03-05,"['Action', 'Mystery', 'Science Fiction']",2811,English
164,944,Lethal Weapon 4,1998-07-10,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",767,English
165,1927,Hulk,2003-06-19,"['Drama', 'Action', 'Science Fiction']",1533,English
166,72559,G.I. Joe: Retaliation,2013-03-26,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",3025,English
167,7364,Sahara,2005-04-06,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",434,English
168,2114,Final Fantasy: The Spirits Within,2001-07-02,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",433,English
169,1771,Captain America: The First Avenger,2011-07-22,"['Action', 'Adventure', 'Science Fiction']",7047,English
170,36643,The World Is Not Enough,1999-11-08,"['Adventure', 'Action', 'Thriller']",862,English
171,8619,Master and Commander: The Far Side of the World,2003-11-14,['Adventure'],790,English
172,50620,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,"['Adventure', 'Fantasy', 'Drama', 'Romance']",2553,English
173,65759,Happy Feet Two,2011-11-17,"['Animation', 'Comedy', 'Family']",373,English
174,1724,The Incredible Hulk,2008-06-12,"['Science Fiction', 'Action', 'Adventure']",3021,English
175,267935,The BFG,2016-06-01,"['Adventure', 'Family', 'Fantasy']",1000,English
176,281957,The Revenant,2015-12-25,"['Western', 'Drama', 'Adventure', 'Thriller']",6396,English
177,77950,Turbo,2013-07-11,"['Animation', 'Family']",1074,English
178,44896,Rango,2011-03-02,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",2051,English
179,270946,Penguins of Madagascar,2014-11-22,"['Family', 'Animation', 'Adventure', 'Comedy']",1346,English
180,2503,The Bourne Ultimatum,2007-08-03,"['Action', 'Drama', 'Mystery', 'Thriller']",2888,English
181,9502,Kung Fu Panda,2008-06-04,"['Adventure', 'Animation', 'Family', 'Comedy']",3145,English
182,102899,Ant-Man,2015-07-14,"['Science Fiction', 'Action', 'Adventure']",5880,English
183,101299,The Hunger Games: Catching Fire,2013-11-15,"['Adventure', 'Action', 'Science Fiction']",6495,English
184,228161,Home,2015-03-18,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",1519,English
185,74,War of the Worlds,2005-06-28,"['Adventure', 'Thriller', 'Science Fiction']",2322,English
186,8961,Bad Boys II,2003-07-18,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",1564,English
187,417859,Puss in Boots,2011-10-28,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",451,English
188,27576,Salt,2010-07-21,"['Action', 'Mystery', 'Thriller']",2093,English
189,86834,Noah,2014-03-20,"['Drama', 'Adventure']",2350,English
190,17578,The Adventures of Tintin,2011-10-25,"['Adventure', 'Animation', 'Mystery']",2061,English
191,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,"['Adventure', 'Fantasy', 'Family']",5877,English
192,6972,Australia,2008-11-18,['Drama'],694,English
193,82700,After Earth,2013-05-30,"['Science Fiction', 'Action', 'Adventure']",2532,English
194,10567,Dinosaur,2000-05-19,"['Animation', 'Family']",542,English
195,181533,Night at the Museum: Secret of the Tomb,2014-12-17,"['Adventure', 'Comedy', 'Fantasy', 'Family']",1851,English
196,38055,Megamind,2010-10-28,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",1918,English
197,671,Harry Potter and the Philosopher's Stone,2001-11-16,"['Adventure', 'Fantasy', 'Family']",7006,English
198,49524,R.I.P.D.,2013-07-18,"['Fantasy', 'Action', 'Comedy', 'Crime']",1260,English
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"['Adventure', 'Fantasy', 'Action']",6985,English
200,131631,The Hunger Games: Mockingjay - Part 1,2014-11-18,"['Science Fiction', 'Adventure', 'Thriller']",5584,English
201,591,The Da Vinci Code,2006-05-17,"['Thriller', 'Mystery']",2704,English
202,172385,Rio 2,2014-03-19,"['Animation', 'Adventure', 'Comedy', 'Family']",978,English
203,36658,X2,2003-04-24,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",3506,English
204,51497,Fast Five,2011-04-20,"['Action', 'Thriller', 'Crime']",2438,English
205,58574,Sherlock Holmes: A Game of Shadows,2011-11-22,"['Adventure', 'Action', 'Crime', 'Mystery']",3886,English
206,18823,Clash of the Titans,2010-04-01,"['Adventure', 'Fantasy', 'Action']",2233,English
207,861,Total Recall,1990-06-01,"['Action', 'Adventure', 'Science Fiction']",1710,English
208,1911,The 13th Warrior,1999-08-27,"['Adventure', 'Fantasy', 'Action']",510,English
209,49040,The Bourne Legacy,2012-08-08,"['Action', 'Thriller']",2651,English
210,415,Batman & Robin,1997-06-20,"['Action', 'Crime', 'Fantasy']",1418,English
211,8871,How the Grinch Stole Christmas,2000-11-17,"['Family', 'Comedy', 'Fantasy']",1386,English
212,435,The Day After Tomorrow,2004-05-26,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2392,English
213,955,Mission: Impossible II,2000-05-24,"['Adventure', 'Action', 'Thriller']",1928,English
214,2133,The Perfect Storm,2000-03-15,['Drama'],597,English
215,1979,4: Rise of the Silver Surfer,2007-06-13,"['Adventure', 'Fantasy', 'Action', 'Thriller']",2589,English
216,87827,Life of Pi,2012-11-20,"['Adventure', 'Drama', 'Action']",5797,English
217,1250,Ghost Rider,2007-02-16,"['Thriller', 'Action', 'Fantasy', 'Horror']",1712,English
218,324668,Jason Bourne,2016-07-27,"['Action', 'Thriller']",2341,English
219,9471,Charlie's Angels: Full Throttle,2003-06-27,"['Action', 'Adventure', 'Comedy']",914,English
220,70981,Prometheus,2012-05-30,"['Science Fiction', 'Adventure', 'Mystery']",5080,English
221,10996,Stuart Little 2,2002-07-19,"['Family', 'Adventure', 'Animation', 'Comedy']",613,English
222,68724,Elysium,2013-08-07,"['Science Fiction', 'Action', 'Drama', 'Thriller']",3439,English
223,2789,The Chronicles of Riddick,2004-06-11,"['Action', 'Science Fiction']",1570,English
224,97020,RoboCop,2014-01-30,"['Action', 'Science Fiction']",2342,English
225,7459,Speed Racer,2008-05-09,"['Action', 'Family', 'Science Fiction']",354,English
226,42888,How Do You Know,2010-12-17,"['Comedy', 'Drama', 'Romance']",223,English
227,37834,Knight and Day,2010-06-15,"['Action', 'Comedy']",1547,English
228,75612,Oblivion,2013-04-10,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",4800,English
229,1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,"['Science Fiction', 'Adventure', 'Action']",4116,English
230,1894,Star Wars: Episode II - Attack of the Clones,2002-05-15,"['Adventure', 'Action', 'Science Fiction']",3992,English
231,585,"Monsters, Inc.",2001-11-01,"['Animation', 'Comedy', 'Family']",5996,English
232,76170,The Wolverine,2013-07-23,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",4053,English
233,1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,"['Adventure', 'Action', 'Science Fiction']",4432,English
234,49519,The Croods,2013-03-20,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2399,English
235,2395,Astérix aux Jeux Olympiques,2008-01-13,"['Fantasy', 'Adventure', 'Comedy', 'Family']",471,French
236,12100,Windtalkers,2002-06-14,"['Drama', 'Action', 'History', 'War']",341,English
237,290595,The Huntsman: Winter's War,2016-04-06,"['Action', 'Adventure', 'Drama']",1523,English
238,98566,Teenage Mutant Ninja Turtles,2014-08-07,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",2636,English
239,49047,Gravity,2013-09-27,"['Science Fiction', 'Thriller', 'Drama']",5751,English
240,9619,Dante's Peak,1997-02-07,"['Action', 'Adventure', 'Thriller']",428,English
241,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,"['Fantasy', 'Action', 'Adventure', 'Comedy']",963,English
242,166424,Fantastic Four,2015-08-05,"['Action', 'Adventure', 'Science Fiction']",2278,English
243,1593,Night at the Museum,2006-10-20,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2862,English
244,254128,San Andreas,2015-05-27,"['Action', 'Drama', 'Thriller']",2968,English
245,714,Tomorrow Never Dies,1997-12-11,"['Adventure', 'Action', 'Thriller']",925,English
246,2024,The Patriot,2000-06-28,"['Drama', 'History', 'War', 'Action']",1099,English
247,163,Ocean's Twelve,2004-12-09,"['Thriller', 'Crime']",2124,English
248,787,Mr. & Mrs. Smith,2005-06-07,"['Action', 'Comedy', 'Drama', 'Thriller']",2965,English
249,262500,Insurgent,2015-03-18,"['Adventure', 'Science Fiction', 'Thriller']",3829,English
250,2567,The Aviator,2004-12-17,['Drama'],1489,English
251,38745,Gulliver's Travels,2010-12-25,['Comedy'],621,English
252,40805,The Green Hornet,2011-01-12,"['Action', 'Crime', 'Comedy']",1251,English
253,53182,300: Rise of an Empire,2014-03-05,"['Action', 'War']",2397,English
254,41513,The Smurfs,2011-07-29,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",1179,English
255,13700,Home on the Range,2004-04-02,"['Animation', 'Family']",389,English
256,262504,Allegiant,2016-03-09,"['Adventure', 'Science Fiction']",1998,English
257,39254,Real Steel,2011-09-28,"['Action', 'Science Fiction', 'Drama']",2692,English
258,77931,The Smurfs 2,2013-07-30,"['Fantasy', 'Family', 'Comedy', 'Animation']",695,English
259,1639,Speed 2: Cruise Control,1997-06-13,"['Action', 'Adventure', 'Thriller']",434,English
260,80274,Ender's Game,2013-10-23,"['Science Fiction', 'Action', 'Adventure']",2303,English
261,1571,Live Free or Die Hard,2007-06-20,"['Action', 'Thriller']",2089,English
262,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"['Adventure', 'Fantasy', 'Action']",8705,English
263,10204,Around the World in 80 Days,2004-06-16,"['Action', 'Adventure', 'Comedy']",672,English
264,8489,Ali,2001-12-11,['Drama'],447,English
265,10588,The Cat in the Hat,2003-11-21,"['Comedy', 'Fantasy', 'Family']",366,English
266,2048,"I, Robot",2004-07-15,"['Action', 'Science Fiction']",3793,English
267,1495,Kingdom of Heaven,2005-05-03,"['Drama', 'Action', 'Adventure', 'History', 'War']",1157,English
268,10137,Stuart Little,1999-12-17,"['Animation', 'Fantasy', 'Family', 'Comedy']",959,English
269,10198,The Princess and the Frog,2009-12-08,"['Romance', 'Family', 'Animation', 'Music']",1247,English
270,286217,The Martian,2015-09-30,"['Drama', 'Adventure', 'Science Fiction']",7268,English
271,1635,The Island,2005-07-20,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",1770,English
272,24113,Town & Country,2001-04-27,"['Comedy', 'Romance']",16,English
273,9679,Gone in Sixty Seconds,2000-06-09,"['Action', 'Crime', 'Thriller']",1485,English
274,98,Gladiator,2000-05-01,"['Action', 'Drama', 'Adventure']",5439,English
275,180,Minority Report,2002-06-20,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",2608,English
276,672,Harry Potter and the Chamber of Secrets,2002-11-13,"['Adventure', 'Fantasy', 'Family']",5815,English
277,36557,Casino Royale,2006-11-14,"['Adventure', 'Action', 'Thriller']",3855,English
278,869,Planet of the Apes,2001-07-25,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",1243,English
279,280,Terminator 2: Judgment Day,1991-07-01,"['Action', 'Thriller', 'Science Fiction']",4185,English
280,11322,Public Enemies,2009-07-01,"['History', 'Crime', 'Drama']",1344,English
281,4982,American Gangster,2007-11-02,"['Drama', 'Crime']",1502,English
282,36955,True Lies,1994-07-14,"['Action', 'Thriller']",1116,English
283,18487,The Taking of Pelham 1 2 3,2009-06-11,"['Thriller', 'Drama', 'Crime']",954,English
284,39451,Little Fockers,2010-12-21,"['Comedy', 'Romance']",1060,English
